"","x"
"1","Ptprc"
"2","Ms4a1"
"3","Igkc"
"4","Cd8a"
"5","Cd4"
"6","Cd27"
"7","Tbx21"
"8","Ccl5"
"9","Nkg7"
"10","Klra7"
"11","Klra4"
"12","Gzma"
"13","S100a8"
"14","Cxcr4"
"15","Mmp9"
"16","Cd14"
"17","Ctsa"
"18","Ctsb"
"19","Ctsl"
"20","Ctsz"
"21","Fabp5"
"22","Cx3cr1"
"23","Ly6c2"
"24","Ccr2"
"25","Cxcl10"
"26","Itgam"
"27","Ccl6"
"28","Ccl9"
"29","Tgfbi"
"30","Mapk14"
"31","Ctss"
"32","Fcgr3"
"33","Csf1r"
"34","C1qa"
"35","Cd74"
"36","Cd83"
"37","Flt3"
"38","Cd209a"
"39","Xcr1"
"40","Pecam1"
"41","Cdh5"
"42","Apln"
"43","Aplnr"
"44","Kdr"
"45","Cxcl12"
"46","Lpl"
"47","Ly6a"
"48","Fbln5"
"49","Hey1"
"50","Alpl"
"51","Lrg1"
"52","Icam1"
"53","Hif1a"
"54","Vwf"
"55","Pdgfrb"
"56","Rgs5"
"57","Cspg4"
"58","Mcam"
"59","Acta2"
"60","Myh11"
"61","Myl9"
"62","Pdgfra"
"63","Cd34"
"64","Thy1"
"65","Tnfaip6"
"66","Igfbp5"
"67","Dpp4"
"68","Cd164"
"69","Bmp1"
"70","Il33"
"71","Il6"
"72","Egfr"
"73","Mmp2"
"74","Mmp14"
"75","Ctsk"
"76","Adam12"
"77","Bmp5"
"78","Myoc"
"79","Col1a1"
"80","Col3a1"
"81","Dcn"
"82","Gsn"
"83","Bgn"
"84","Apod"
"85","Hdlbp"
"86","Dio2"
"87","Rspo3"
"88","Tnmd"
"89","Scx"
"90","Mpz"
"91","Ptn"
"92","Cd9"
"93","Itga7"
"94","Vcam1"
"95","Sdc4"
"96","Pax7"
"97","Myf5"
"98","Myod1"
"99","Cdkn1a"
"100","Myog"
"101","Gm7325"
"102","Tmem8c"
"103","Dmd"
"104","Tnnt3"
"105","Acta1"
"106","Vegfa"
"107","Mybpc1"
"108","Mybpc2"
"109","Ddx17"
"110","Myh1"
"111","Myh2"
"112","Myh4"
